u,g,r,i,z,target
19.4379997253,19.3910007477,19.2059993744,19.0760002136,18.9020004272,QSO
19.4169998169,19.2269992828,19.0359992981,19.0569992065,18.9869995117,QSO
20.4139995575,20.1410007477,20.1240005493,20.1200008392,19.9489994049,QSO
19.6350002289,19.2539997101,19.3180007935,19.0020008087,18.8150005341,QSO
25.357000351,21.9899997711,20.2910003662,19.8810005188,19.5650005341,QSO
19.0720005035,18.8339996338,18.8470001221,18.656999588,18.6539993286,QSO
18.736000061,18.5559997559,18.4769992828,18.1630001068,18.1529998779,QSO
18.4459991455,18.3150005341,18.3099994659,18.2460002899,18.0620002747,QSO
19.3630008698,19.0569992065,19.0289993286,18.8400001526,18.8759994507,QSO
20.1870002747,20.0949993134,19.7070007324,19.7759990692,19.8309993744,QSO
23.1730003357,20.8460006714,19.2310009003,19.0170001984,18.9559993744,QSO
19.2709999084,18.8159999847,18.8560009003,18.8519992828,18.7000007629,QSO
19.5419998169,19.2579994202,19.0300006866,18.7479991913,18.827999115,QSO
25.4640007019,20.4090003967,19.3680000305,19.3899993896,19.4559993744,QSO
19.4190006256,18.986000061,18.9850006104,18.9930000305,18.75,QSO
18.6289997101,18.3619995117,18.1809997559,18.1240005493,18.031999588,QSO
22.486000061,20.2849998474,20.0659999847,20.1280002594,19.9559993744,QSO
18.531999588,18.406999588,18.2119998932,18.2560005188,18.3229999542,QSO
20.2810001373,19.8549995422,19.8990001678,19.8880004883,19.7560005188,QSO
19.4939994812,19.1410007477,18.7880001068,18.7779998779,18.7950000763,QSO
18.6660003662,18.6299991608,18.3010005951,18.2430000305,18.2619991302,QSO
20.7919998169,20.2600002289,20.2399997711,20.204000473,19.9599990845,QSO
18.829000473,18.6089992523,18.3579998016,18.486000061,18.5100002289,QSO
18.7460002899,18.5900001526,18.5069999695,18.216999054,18.2080001831,QSO
20.1650009155,19.7460002899,19.5030002594,19.2919998169,19.1319999695,QSO
19.9909992218,19.6280002594,19.2339992523,19.061000824,19.0030002594,QSO
19.7210006714,19.3120002747,19.1399993896,18.9589996338,18.9249992371,QSO
19.7619991302,19.438999176,19.0809993744,18.9899997711,18.9769992828,QSO
20.232000351,19.7490005493,19.670999527,19.438999176,19.4039993286,QSO
21.9869995117,19.6119995117,19.2910003662,19.1650009155,19.2430000305,QSO
20.2490005493,19.9829998016,19.9850006104,19.8069992065,19.8770008087,QSO
23.1690006256,18.6079998016,18.1340007782,18.0839996338,18.0009994507,QSO
18.9200000763,18.9610004425,18.8980007172,18.6210002899,18.4409999847,QSO
19.9060001373,19.3400001526,19.2199993134,19.079000473,18.8330001831,QSO
18.295999527,18.1410007477,17.9510002136,17.9559993744,17.8490009308,QSO
24.8490009308,20.6219997406,19.6369991302,19.6469993591,19.5130004883,QSO
19.436000824,19.2420005798,19.1289997101,18.9930000305,18.688999176,QSO
19.031999588,18.8490009308,18.6040000916,18.7010002136,18.7460002899,QSO
19.0450000763,18.8999996185,18.6289997101,18.4580001831,17.9300003052,QSO
19.329000473,18.9659996033,18.8759994507,18.8209991455,18.6539993286,QSO
21.8010005951,19.8950004578,19.6490001678,19.4960002899,19.3819999695,QSO
19.9990005493,19.4570007324,19.0310001373,18.966999054,18.9340000153,QSO
19.2520008087,19.1210002899,18.9370002747,19.0970001221,19.2670001984,QSO
19.2520008087,18.658000946,18.6040000916,18.5480003357,18.4340000153,QSO
18.0009994507,17.5109996796,17.3579998016,17.2719993591,17.091999054,QSO
19.0650005341,18.7000007629,18.5200004578,18.4160003662,18.3010005951,QSO
19.2940006256,18.7220001221,18.1970005035,17.9850006104,17.875,QSO
19.6060009003,19.5839996338,19.232000351,19.3369998932,19.3500003815,QSO
21.7430000305,20.5240001678,19.7290000916,19.1599998474,18.952999115,QSO
18.6490001678,18.5809993744,18.5720005035,18.3619995117,18.3069992065,QSO
19.7560005188,19.5160007477,19.2999992371,19.138999939,18.9260005951,QSO
19.1329994202,19.0499992371,18.841999054,18.7800006866,18.7889995575,QSO
18.982000351,18.9549999237,18.9549999237,18.7329998016,18.5489997864,QSO
18.7520008087,18.5230007172,18.4969997406,18.2900009155,18.343000412,QSO
18.8029994965,18.611000061,18.3260002136,18.3129997253,18.3640003204,QSO
19.9710006714,19.763999939,19.4479999542,19.4379997253,19.4400005341,QSO
24.4290008545,21.6660003662,20.5310001373,20.1609992981,20.2439994812,QSO
18.7859992981,18.6940002441,18.7150001526,18.5699996948,18.5869998932,QSO
19.0480003357,18.8630008698,18.8530006409,19.0219993591,18.9430007935,QSO
18.2700004578,18.1949996948,17.9689998627,17.9799995422,18.1529998779,QSO
19.2609996796,18.8339996338,18.5890007019,18.3209991455,18.3710002899,QSO
20.1560001373,19.7889995575,19.3059997559,19.283000946,19.1620006561,QSO
20.1259994507,19.6189994812,19.4130001068,19.1000003815,19.1949996948,QSO
19.8099994659,19.5160007477,19.3540000916,19.1550006866,19.0869998932,QSO
20.5419998169,20.2140007019,20.4160003662,20.1669998169,20.2619991302,QSO
17.0030002594,16.9869995117,16.8950004578,16.7399997711,16.6480007172,QSO
17.2840003967,17.1949996948,16.966999054,16.5690002441,16.4349994659,QSO
20.936000824,20.2290000916,19.6989994049,19.1490001678,19.0209999084,QSO
20.297000885,20.0380001068,19.9850006104,19.9109992981,19.8010005951,QSO
18.2600002289,18.1159992218,17.8589992523,17.8600006104,17.9430007935,QSO
19.3460006714,19.0949993134,18.8530006409,18.8689994812,18.7539997101,QSO
19.6930007935,19.3780002594,19.1499996185,18.9899997711,18.9479999542,QSO
19.2369995117,19.0499992371,18.8999996185,19.0270004272,18.9370002747,QSO
19.5279998779,19.3190002441,19.2159996033,18.952999115,18.9169998169,QSO
19.9890003204,19.9370002747,19.8500003815,19.702999115,19.6620006561,QSO
23.8799991608,20.6019992828,19.7709999084,19.4850006104,19.4379997253,QSO
20.7140007019,20.3409996033,19.6770000458,19.4300003052,19.2430000305,QSO
20.3330001831,20.0669994354,19.7670001984,19.7070007324,19.8299999237,QSO
19.1439990997,18.9489994049,18.8129997253,18.7409992218,18.2549991608,QSO
19.0569992065,18.4190006256,18.5230007172,18.361000061,18.0769996643,QSO
19.4839992523,19.3999996185,19.2290000916,19.0400009155,18.783000946,QSO
19.3680000305,19.2759990692,19.1509990692,19.0690002441,19.045999527,QSO
17.4750003815,17.2989997864,17.466999054,17.3999996185,17.1870002747,QSO
19.7700004578,19.2789993286,18.8880004883,18.7469997406,18.7450008392,QSO
19.8190002441,19.7059993744,19.1620006561,19.0720005035,18.9409999847,QSO
19.3320007324,18.6790008545,18.7070007324,18.6299991608,18.4619998932,QSO
18.7199993134,18.4979991913,18.4029998779,18.2490005493,18.357000351,QSO
18.6399993896,18.0680007935,17.9050006866,17.9440002441,17.6900005341,QSO
20.5739994049,20.4249992371,20.3059997559,20.1650009155,20.0249996185,QSO
17.3710002899,17.4120006561,17.3400001526,17.4829998016,16.9969997406,QSO
20.7339992523,20.4050006866,20.327999115,20.1919994354,19.9200000763,QSO
20.4020004272,20.1669998169,19.8020000458,19.8819999695,19.783000946,QSO
19.1529998779,18.6930007935,18.6119995117,18.4440002441,18.436000824,QSO
19.5620002747,19.408000946,19.202999115,19.2509994507,19.2019996643,QSO
20.8129997253,20.5219993591,20.4589996338,20.1490001678,20.1380004883,QSO
19.8770008087,19.5009994507,19.1770000458,18.8400001526,18.6919994354,QSO
20.6480007172,19.9279994965,19.3710002899,18.966999054,18.9230003357,QSO
19.4239997864,19.1219997406,19.0949993134,18.952999115,18.9810009003,QSO
19.2469997406,19.047000885,18.6630001068,18.6270008087,18.670999527,QSO
26.4330005646,21.4290008545,20.2609996796,20.1079998016,20.0729999542,QSO
20.5359992981,20.2000007629,20.2929992676,19.9099998474,19.7259998322,QSO
20.6270008087,20.5830001831,20.2700004578,20.2290000916,20.1900005341,QSO
19.4309997559,19.2280006409,18.7940006256,18.7910003662,18.9230003357,QSO
